day|max_object
187|85
143|29
163|40
122|26
258|45
164|47
145|35
151|68
205|51
166|62
111|34
194|49
155|35
239|31
125|38
187|30
152|48
237|60
181|82
131|51
161|51
141|48
221|61
184|50
122|35
193|54
201|19
136|20
145|60
144|41
146|34
164|34
182|33
136|62
167|68
132|24
138|19
235|32
179|70
168|49
166|49
160|61
214|49
148|16
194|77
147|38
186|56
147|43
137|29
214|29
141|46
167|69
124|33
159|27
160|28
116|27
158|51
154|51
191|64
173|61
148|43
181|63
317|40
147|25
175|56
170|32
185|31
176|38
138|32
150|42
135|27
193|42
148|62
204|46
189|52
159|58
177|51
116|16
157|44
157|34
117|32
134|34
140|70
134|41
153|27
138|39
123|46
116|54
156|36
178|42
119|25
133|19
258|57
177|46
178|54
138|26
155|45
191|51
199|37
156|23
118|18
237|24
151|34
175|56
188|32
104|16
108|22
168|48
149|46
145|19
258|63
170|57
118|25
140|37
268|52
218|61
127|45
190|47
128|48
177|55
308|56
150|39
157|55
136|52
125|35
147|28
248|81
170|61
153|56
122|30
166|57
258|34
121|46
222|29
179|43
101|16
152|57
215|47
186|33
210|116
100|18
111|21
155|19
118|12
130|21
105|34
235|124
199|123
205|76
220|118
141|14
116|29
167|23
145|32
114|25
129|30
104|14
126|21
97|8
90|10
99|13
118|31
84|24
84|24
91|14
100|27
90|26
82|13
88|28
90|20
93|16
94|16
85|10
86|13
84|28
